LDist,Dist,LorR,Type
8,5,Left,Bag
12,2,Left,Shoe
16,10,Left,Shoe
16,8,Right,Cloth
24,10,Right,Bag
26,3,Right,Cloth
36,1,Right,Cloth
36,1,Right,Bag
41,6,Right,Eyeglasses
8,3,Left,Bag
11,1,Left,Shoe
16,1,Right,Cloth
21,5,Right,Bag
25,2,Left,Cloth
36,1,Right,Cloth
36,1,Right,Bag
40,4,Right,Eyeglasses
8,3,Left,Bag
11,1,Left,Shoe
15,6,Right,Cloth
17,5,Left,Shoe
21,8,Left,Cloth
23,5,Right,Bag
24,2,Left,Cloth
26,2,Right,Shoe
32,3,Left,Bag
36,1,Right,Bag
40,2,Right,Eyeglasses
10,5,Left,Bag
10,1,Right,Shoe
30,10,Left,Shoe
25,10,Left,Cloth
7,6,Left,Bag
12,1,Right,Shoe
20,12,Left,Shoe
25,11,Right,Bag
26,7,Right,Shoe
27,2,Right,Shoe
36,1,Right,Bag
36,1,Right,Cloth
49,9,Right,Cloth
7,3,Left,Bag
12,1,Right,Shoe
14,2,Right,Eyeglasses
16,5,Right,Eyeglasses
20,10,Left,Shoe
25,10,Right,Bag
25,5,Left,Cloth
26,5,Right,Shoe
26,6,Right,Shoe
28,20,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
37,10,Left,Shoe
49,7,Right,Cloth
49,20,Right,Bag
7,4,Left,Bag
12,1,Right,Shoe
17,5,Right,Eyeglasses
25,3,Left,Cloth
25,8,Right,Bag
26,5,Right,Shoe
26,3,Right,Shoe
36,1,Right,Bag
36,1,Right,Cloth
38,10,Left,Shoe
49,15,Right,Bag
50,7,Right,Cloth
7,2,Left,Bag
12,1,Right,Shoe
15,4,Right,Cloth
17,4,Right,Eyeglasses
20,5,Left,Shoe
24,5,Right,Bag
25,2,Left,Cloth
27,1,Right,Shoe
27,2,Right,Shoe
36,1,Right,Cloth
36,1,Right,Bag
38,5,Left,Shoe
50,3,Right,Cloth
8,4,Left,Bag
12,1,Right,Shoe
20,7,Left,Shoe
25,6,Right,Bag
27,2,Right,Shoe
25,1,Right,Bag
37,5,Left,Shoe
48,10,Right,Bag
49,4,Right,Cloth
8,3,Left,Bag
12,1,Right,Shoe
20,8,Left,Shoe
21,12,Left,Cloth
25,2,Left,Cloth
25,7,Right,Bag
26,2,Right,Shoe
26,3,Right,Shoe
25,2,Left,Cloth
28,17,Right,Shoe
36,1,Right,Bag
48,5,Right,Cloth
47,12,Right,Bag
8,3,Left,Bag
12,1,Right,Shoe
20,4,Left,Shoe
25,4,Right,Bag
25,2,Left,Cloth
26,2,Right,Shoe
26,3,Right,Shoe
35,1,Right,Cloth
35,1,Right,Bag
37,4,Left,Shoe
49,3,Right,Cloth
8,4,Left,Bag
12,1,Right,Shoe
15,6,Right,Cloth
20,6,Left,Shoe
23,6,Left,Shoe
24,5,Right,Bag
25,2,Left,Cloth
26,2,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
38,6,Left,Shoe
49,4,Right,Cloth
8,5,Left,Bag
12,1,Right,Shoe
20,8,Left,Shoe
25,3,Left,Cloth
25,6,Right,Bag
26,4,Right,Shoe
26,3,Right,Shoe
36,1,Right,Cloth
36,1,Right,Bag
39,7,Left,Shoe
48,10,Right,Bag
50,3,Right,Cloth
1,1,Right,Cloth
9,2,Left,Bag
12,1,Left,Shoe
16,4,Left,Shoe
16,5,Right,Cloth
22,5,Left,Shoe
24,5,Left,Cloth
25,1,Left,Cloth
25,4,Right,Cloth
25,2,Right,Shoe
26,8,Right,Shoe
27,1,Right,Shoe
33,1,Right,Bag
40,10,Left,Cloth
47,10,Right,Bag
49,3,Right,Cloth
1,1,Right,Cloth
9,3,Left,Bag
9,10,Left,Bag
12,1,Left,Shoe
16,4,Left,Shoe
18,3,Right,Cloth
25,1,Left,Cloth
23,4,Left,Shoe
25,2,Right,Shoe
25,4,Right,Shoe
27,1,Right,Shoe
